h,latitude_deg,season,w,r_g_per_kg,T,P,rho,a
5000,45,winter,0.25,0.130625,248.674,53024.82,0.7427654738228963,316.12602678488844
5000,45,winter,0.5,0.26125,248.674,53024.82,0.7427055695333583,316.12602678488844
5000,45,winter,0.75,0.391875,248.674,53024.82,0.7426456652438203,316.12602678488844
5000,45,winter,1.0,0.5225,248.674,53024.82,0.7425857609542823,316.12602678488844
6000,45,winter,0.0,0.0,242.684,46151.85,0.6624999958091198,312.29543440915046
6000,45,winter,0.25,0.085625,242.684,46151.85,0.662464386964575,312.29543440915046
6000,45,winter,0.5,0.17125,242.684,46151.85,0.6624287781200303,312.29543440915046
6000,45,winter,0.75,0.256875,242.684,46151.85,0.6623931692754854,312.29543440915046
6000,45,winter,1.0,0.3425,242.684,46151.85,0.6623575604309407,312.29543440915046
7000,45,winter,0.0,0.0,236.696,40032.43,0.5891948527481243,308.418572143767
7000,45,winter,0.25,0.058750000000000004,236.696,40032.43,0.5891732946473405,308.418572143767
7000,45,winter,0.5,0.11750000000000001,236.696,40032.43,0.5891517365465566,308.418572143767
7000,45,winter,0.75,0.17625000000000002,236.696,40032.43,0.5891301784457728,308.418572143767
7000,45,winter,1.0,0.23500000000000001,236.696,40032.43,0.5891086203449889,308.418572143767
8000,45,winter,0.0,0.0,230.71,34599.67,0.5224484528463569,304.4936726469041
8000,45,winter,0.25,0.044375,230.71,34599.67,0.5224338267926218,304.4936726469041
8000,45,winter,0.5,0.08875,230.71,34599.67,0.5224192007388866,304.4936726469041
8000,45,winter,0.75,0.133125,230.71,34599.67,0.5224045746851516,304.4936726469041
8000,45,winter,1.0,0.1775,230.71,34599.67,0.5223899486314163,304.4936726469041
9000,45,winter,0.0,0.0,224.726,29791.17,0.46181937378899773,300.51885376661477
9000,45,winter,0.25,0.040625,224.726,29791.17,0.46180728812974736,300.51885376661477
9000,45,winter,0.5,0.08125,224.726,29791.17,0.46179520247049705,300.51885376661477
9000,45,winter,0.75,0.12187500000000001,224.726,29791.17,0.4617831168112466,300.51885376661477
9000,45,winter,1.0,0.1625,224.726,29791.17,0.46177103115199625,300.51885376661477
10000,45,winter,0.0,0.0,218.744,25548.79,0.40688539107663824,296.49210782885945
10000,45,winter,0.25,0.050625,218.744,25548.79,0.4068718461680492,296.49210782885945
10000,45,winter,0.5,0.10125,218.744,25548.79,0.40685830125946015,296.49210782885945
10000,45,winter,0.75,0.151875,218.744,25548.79,0.40684475635087114,296.49210782885945
10000,45,winter,1.0,0.2025,218.744,25548.79,0.406831211442282,296.49210782885945
0,45,summer,0.0,0.0,291.15,101350.0,1.212676240064162,342.0609204951656
0,45,summer,0.25,2.513125,291.15,101350.0,1.2108569205906556,342.0609204951656
0,45,summer,0.5,5.02625,291.15,101350.0,1.2090376011171493,342.0609204951656
0,45,summer,0.75,7.539375,291.15,101350.0,1.2072182816436428,342.0609204951656
0,45,summer,1.0,10.0525,291.15,101350.0,1.2053989621701364,342.0609204951656
1000,45,summer,0.0,0.0,286.651,90048.05,1.0943563476885503,339.40778026468394
1000,45,summer,0.25,1.733125,286.651,90048.05,1.0932150645553929,339.40778026468394
1000,45,summer,0.5,3.46625,286.651,90048.05,1.0920737814222357,339.40778026468394
1000,45,summer,0.75,5.199375,286.651,90048.05,1.0909324982890782,339.40778026468394
1000,45,summer,1.0,6.9325,286.651,90048.05,1.0897912151559208,339.40778026468394
2000,45,summer,0.0,0.0,282.153,79859.96,0.9860122850639332,336.73433319547325
2000,45,summer,0.25,1.2675,282.153,79859.96,0.9852570935428322,336.73433319547325
2000,45,summer,0.5,2.535,282.153,79859.96,0.984501902021731,336.73433319547325
2000,45,summer,0.75,3.8025,282.153,79859.96,0.98374671050063,336.73433319547325
2000,45,summer,1.0,5.07,282.153,79859.96,0.982991518979529,336.73433319547325
3000,45,summer,0.0,0.0,276.158,70667.5,0.8914561978101593,333.13777228588174
3000,45,summer,0.25,0.9212499999999999,276.158,70667.5,0.8909584967458177,333.13777228588174
3000,45,summer,0.5,1.8424999999999998,276.158,70667.5,0.8904607956814763,333.13777228588174
3000,45,summer,0.75,2.76375,276.158,70667.5,0.8899630946171347,333.13777228588174
3000,45,summer,1.0,3.6849999999999996,276.158,70667.5,0.8894653935527933,333.13777228588174
4000,45,summer,0.0,0.0,270.165,62368.01,0.8042123011435464,329.50317637770956
4000,45,summer,0.25,0.655,270.165,62368.01,0.8038930430436965,329.50317637770956
4000,45,summer,0.5,1.31,270.165,62368.01,0.8035737849438468,329.50317637770956
4000,45,summer,0.75,1.965,270.165,62368.01,0.8032545268439969,329.50317637770956
4000,45,summer,1.0,2.62,270.165,62368.01,0.8029352687441471,329.50317637770956
5000,45,summer,0.0,0.0,264.174,54891.409999999996,0.7238560765181536,325.82927264259115
5000,45,summer,0.25,0.46375,264.174,54891.409999999996,0.7236513919860258,325.82927264259115
5000,45,summer,0.5,0.9275,264.174,54891.409999999996,0.723446707453898,325.82927264259115
5000,45,summer,0.75,1.3912499999999999,264.174,54891.409999999996,0.7232420229217701,325.82927264259115
5000,45,summer,1.0,1.855,264.174,54891.409999999996,0.7230373383896423,325.82927264259115
6000,45,summer,0.0,0.0,258.184,48171.78,0.6499819242509821,322.1140922915357
6000,45,summer,0.25,0.346875,258.184,48171.78,0.6498438959003198,322.1140922915357
6000,45,summer,0.5,0.69375,258.184,48171.78,0.6497058675496575,322.1140922915357
6000,45,summer,0.75,1.040625,258.184,48171.78,0.6495678391989953,322.1140922915357
6000,45,summer,1.0,1.3875,258.184,48171.78,0.649429810848333,322.1140922915357
7000,45,summer,0.0,0.0,252.196,42147.14,0.582194134489986,318.3568214177293
7000,45,summer,0.25,0.23375,252.196,42147.14,0.5821109175554807,318.3568214177293
7000,45,summer,0.5,0.4675,252.196,42147.14,0.5820277006209753,318.3568214177293
7000,45,summer,0.75,0.70125,252.196,42147.14,0.58194448368647,318.3568214177293
7000,45,summer,1.0,0.935,252.196,42147.14,0.5818612667519646,318.3568214177293
8000,45,summer,0.0,0.0,246.21,36759.38,0.5201162223602399,314.5559517510359
8000,45,summer,0.25,0.15,246.21,36759.38,0.5200674181943379,314.5559517510359
8000,45,summer,0.5,0.3,246.21,36759.38,0.5200186140284359,314.5559517510359
8000,45,summer,0.75,0.44999999999999996,246.21,36759.38,0.5199698098625338,314.5559517510359
8000,45,summer,1.0,0.6,246.21,36759.38,0.5199210056966318,314.5559517510359
9000,45,summer,0.0,0.0,240.226,31954.020000000004,0.4633865272357749,310.70988328213826
9000,45,summer,0.25,0.08937500000000001,240.226,31954.020000000004,0.4633598042906474,310.70988328213826
