h,latitude_deg,season,T,P,rho,a
44000,60,summer,274.911,209.3759,0.002653219,332.3847743146488
46000,60,summer,280.834,164.24540000000002,0.002037423,335.94633363500185
48000,60,summer,281.65,129.2772,0.001599006,336.4340476675926
50000,60,summer,281.65,101.77380000000001,0.001258822,336.4340476675926
52000,60,summer,280.168,80.11716,0.0009961963,335.54774751978294
54000,60,summer,275.638,62.88802999999999,0.0007948167,332.82397861271954
56000,60,summer,271.111,49.173919999999995,0.0006318678,330.0795604641402
58000,60,summer,266.586,38.29753,0.0005004621,327.31335976583665
60000,60,summer,262.065,29.704190000000004,0.0003948639,324.5260578489807
62000,60,summer,253.845,22.908739999999998,0.0003143909,319.39592404882063
64000,60,summer,244.421,17.500609999999998,0.0002494327,313.4110620865192
66000,60,summer,235.002,13.230710000000002,0.0001961327,307.31293618785395
68000,60,summer,225.589,9.890623,0.000152737,301.095331919643
70000,60,summer,216.182,7.304009000000001,0.0001177012,294.7506883866431
72000,60,summer,206.78,5.322648,8.967201e-05,288.26992051894695
74000,60,summer,197.385,3.8228690000000003,6.747054e-05,281.64505848141556
76000,60,summer,187.995,2.7023129999999997,5.007575e-05,274.8642214421513
78000,60,summer,178.611,1.87699,3.660932e-05,267.9163166666039
80000,60,summer,169.233,1.278648,2.632109e-05,260.7879914578123
0,80,winter,248.95,101380.0,1.41866,316.3014101928728
1000,80,winter,253.044,88451.73999999999,1.217724,318.89160394215463
2000,80,winter,250.238,77202.17,1.074767,317.11858359232116
3000,80,winter,247.412,67283.01,0.9473777,315.3228497435605
4000,80,winter,240.903,58486.149999999994,0.8457631,311.14739337265866
5000,80,winter,234.396,50646.99,0.7527325,306.9164462572835
6000,80,winter,227.892,43683.27,0.6677662,302.6283449817614
7000,80,winter,221.389,37517.8,0.5903625,298.27927729528915
8000,80,winter,214.94,32078.289999999997,0.5199144,293.9027739712574
9000,80,winter,213.89,27354.59,0.4455302,293.1840252094237
10000,80,winter,212.841,23309.379999999997,0.3815168,292.46419712881095
12000,80,winter,210.743,16887.440000000002,0.2791571,291.01919959102355
14000,80,winter,208.647,12197.91,0.2036632,289.56837915663374
16000,80,winter,206.551,8783.552,0.1481428,288.11025300082605
18000,80,winter,204.457,6305.091,0.1074303,286.64611162442094
20000,80,winter,202.365,4511.508,0.07766495,285.1758623779369
22000,80,winter,202.35,3223.1659999999997,0.05549036,285.165293067021
24000,80,winter,205.286,2307.322,0.03915492,287.22664747756255
26000,80,winter,209.265,1662.3149999999998,0.02767293,289.99690423002795
28000,80,winter,213.241,1205.2759999999998,0.01969039,292.73888754690586
30000,80,winter,217.214,879.2735,0.01410177,295.4533846121922
32000,80,winter,221.185,645.2493999999999,0.01016271,298.14182015779
34000,80,winter,224.593,476.089,0.007384648,300.42991229336667
36000,80,winter,227.766,352.8605,0.005396998,302.54467279593604
38000,80,winter,230.937,262.6618,0.003962249,304.64343440389456
40000,80,winter,234.106,196.344,0.002921754,306.7265255324358
42000,80,winter,237.273,147.3719,0.00216374,308.79426331556095
44000,80,winter,240.438,111.0555,0.001609072,310.8469541423882
46000,80,winter,243.601,84.01313,0.001201453,312.8848941610956
48000,80,winter,246.762,63.79577,0.0009006423,314.9083697528537
50000,80,winter,247.15,48.55713,0.0006844323,315.1558480022225
52000,80,winter,247.15,36.965740000000004,0.000521047,315.1558480022225
54000,80,winter,246.405,28.1422,0.0003978742,314.6804923267408
56000,80,winter,244.238,21.38795,0.0003050666,313.2937134058071
58000,80,winter,242.071,16.21783,0.0002333929,311.90076862393266
60000,80,winter,239.906,12.26907,0.0001781593,310.5028692704787
62000,80,winter,237.742,9.259942,0.0001356875,309.0992980522602
64000,80,winter,235.58,6.972114,0.0001031013,307.6906304000822
